ID,probability
TEST_00000,0.03389905409718265
TEST_00001,0.03392781819608042
TEST_00002,0.12948561061564834
TEST_00003,0.09927669703944254
TEST_00004,0.5939685266446727
TEST_00005,0.1141142252538826
TEST_00006,0.48297427506144264
TEST_00007,0.4135137571854786
TEST_00008,0.18452695053213805
TEST_00009,0.033351049652299035
TEST_00010,0.06464720577469896
TEST_00011,0.5082211495049151
TEST_00012,0.3647643093793407
TEST_00013,0.37808439419048734
TEST_00014,0.2681681157296723
TEST_00015,0.03363313214728538
TEST_00016,0.21984222317701688
TEST_00017,0.3670399420065015
TEST_00018,0.21821339242764312
TEST_00019,0.7539153605021968
TEST_00020,0.22936710911528574
TEST_00021,0.4000216833887826
TEST_00022,0.2578898515944155
TEST_00023,0.18743041013216535
TEST_00024,0.4046670729520673
TEST_00025,0.03340145925244136
TEST_00026,0.11382123319699913
TEST_00027,0.46220024206057175
TEST_00028,0.15995486562160674
TEST_00029,0.16116287727423906
TEST_00030,0.43696490305316454
TEST_00031,0.15591418166555523
TEST_00032,0.14485922589549777
TEST_00033,0.15613908651533812
TEST_00034,0.4089662905427066
TEST_00035,0.03382997680995294
TEST_00036,0.12821635978836549
TEST_00037,0.3140285570275549
TEST_00038,0.20774061805619368
TEST_00039,0.03358575850290588
TEST_00040,0.14818973095766505
TEST_00041,0.14653453568384556
TEST_00042,0.29061478397374724
TEST_00043,0.2749196307101934
TEST_00044,0.28964898724735877
TEST_00045,0.5585388770430464
TEST_00046,0.5382249322984286
TEST_00047,0.18150717970840044
TEST_00048,0.13526900639462816
TEST_00049,0.39594392818588753
TEST_00050,0.2418456915486311
TEST_00051,0.1498403419370354
TEST_00052,0.10435083591441138
TEST_00053,0.6007596497788853
TEST_00054,0.03405077072449391
TEST_00055,0.42493714734042065
TEST_00056,0.3115233817142112
TEST_00057,0.19385026020812107
TEST_00058,0.5439518008714904
TEST_00059,0.19491138774802788
TEST_00060,0.03377844493201717
TEST_00061,0.16945273207856948
TEST_00062,0.33839187314416425
TEST_00063,0.31363562074916307
TEST_00064,0.18739821477963803
TEST_00065,0.034059476998274024
TEST_00066,0.24967287384694017
TEST_00067,0.1813042416627167
TEST_00068,0.2615006577149299
TEST_00069,0.4979622575853032
TEST_00070,0.41181391223757435
TEST_00071,0.3575721331199508
TEST_00072,0.18064657021022548
TEST_00073,0.2635933484007202
TEST_00074,0.13496467596105893
TEST_00075,0.19898151319348062
TEST_00076,0.038309907308926805
TEST_00077,0.03354308920182582
TEST_00078,0.12387571849588641
TEST_00079,0.17765142399319
TEST_00080,0.3315927980418225
TEST_00081,0.0332266010830162
TEST_00082,0.20424180393780025
