ID,probability
TEST_00000,0.018818600490035125
TEST_00001,0.01876574828030153
TEST_00002,0.13767506280948227
TEST_00003,0.10572842817668149
TEST_00004,0.5294102106702134
TEST_00005,0.11726487236923618
TEST_00006,0.4797653984466671
TEST_00007,0.4269706889962191
TEST_00008,0.2921027082854937
TEST_00009,0.01775270560213003
TEST_00010,0.06257532506842928
TEST_00011,0.49782515953669426
TEST_00012,0.36734409946145885
TEST_00013,0.3902466072025824
TEST_00014,0.28099901643592573
TEST_00015,0.01819175218583012
TEST_00016,0.19767611546228142
TEST_00017,0.3749605413276462
TEST_00018,0.21445720776080013
TEST_00019,0.6927827793074933
TEST_00020,0.2398744409079427
TEST_00021,0.3964049472863297
TEST_00022,0.2654621986204257
TEST_00023,0.20322955724899155
TEST_00024,0.406385440520895
TEST_00025,0.017898398126808417
TEST_00026,0.1205370161225916
TEST_00027,0.48302472249986994
TEST_00028,0.16614157640291266
TEST_00029,0.17431965346072462
TEST_00030,0.43085773899051827
TEST_00031,0.16576664314451173
TEST_00032,0.15968612919959874
TEST_00033,0.16513428538321712
TEST_00034,0.40308756031318016
TEST_00035,0.01912997922563939
TEST_00036,0.13662821778632878
TEST_00037,0.3245354982327505
TEST_00038,0.24812798475053838
TEST_00039,0.017400074810844806
TEST_00040,0.15767248206605744
TEST_00041,0.15743568178857004
TEST_00042,0.29505410482799843
TEST_00043,0.287058943824775
TEST_00044,0.298240461610633
TEST_00045,0.5366490354546938
TEST_00046,0.5234735077504096
TEST_00047,0.1865193129592993
TEST_00048,0.1455598376632392
TEST_00049,0.3904354701325108
TEST_00050,0.2635454133324797
TEST_00051,0.16094863557965028
TEST_00052,0.1150676601814917
TEST_00053,0.5603685825147153
TEST_00054,0.018580424794208128
TEST_00055,0.4231861822628221
TEST_00056,0.3155534786234261
TEST_00057,0.20980959740380042
TEST_00058,0.5191637787604584
TEST_00059,0.21505369279423606
TEST_00060,0.018198883410849635
TEST_00061,0.17682009440813545
TEST_00062,0.3518001635235189
TEST_00063,0.3199715110523629
TEST_00064,0.20463250969571747
TEST_00065,0.017975896893724193
TEST_00066,0.2665833987707311
TEST_00067,0.19908540843863587
TEST_00068,0.27202604349030346
TEST_00069,0.4910914007520106
TEST_00070,0.4072714405564689
TEST_00071,0.3207193813609792
TEST_00072,0.195235500828762
TEST_00073,0.2923368573246632
TEST_00074,0.14423168890385177
TEST_00075,0.21290326776115326
TEST_00076,0.029248965042929814
TEST_00077,0.017609342264634488
TEST_00078,0.13022111391684954
TEST_00079,0.19550673215945535
TEST_00080,0.3422660707565617
TEST_00081,0.01769399717498087
TEST_00082,0.21328713601386173
TEST_00083,0.16073783656646728
TEST_00084,0.42948436491545366
TEST_00085,0.36091143593237457
TEST_00086,0.017667564867010405
TEST_00087,0.3872237481141241
